id,app,category,description,auth,access,api,mcp,buildability,blocker,evidence_urls,engine
81,Stripe,9. Finance and Fintech,"""Payments and financial operations""","[""API key""]","""trial""","""HTTP API; breadth needs endpoint inventory""","""official""","""conditional""","""Test-mode keys provide sandbox capability; live-mode permissions and money-moving actions need separate checks.""",https://docs.stripe.com/api/authentication | https://docs.stripe.com/mcp,AI-session-assisted-evidence-rules
82,Plaid,9. Finance and Fintech,"""Financial data connectivity""","[""API key""]","""trial""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""Sandbox is self-serve; production product access and commercial approval require separate checking.""",https://plaid.com/docs/api/ | https://plaid.com/docs/quickstart/,AI-session-assisted-evidence-rules
83,Binance,9. Finance and Fintech,"""Cryptocurrency exchange and account operations""","[""API key""]","""free""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developers.binance.com/docs/binance-spot-api-docs/rest-api | https://raw.githubusercontent.com/binance/binance-spot-api-docs/master/rest-api.md,AI-session-assisted-evidence-rules
84,Paygent Connect,9. Finance and Fintech,"""Payment service identity requires confirmation""","""unknown""","""unknown""","""unknown""","""unknown""","""unknown""","""Paygent Connect identity is ambiguous in the supplied hint. Do not substitute the Japanese Paygent service or assume NMI credentials apply.""",https://paygent.io/,AI-session-assisted-evidence-rules
85,iPayX,9. Finance and Fintech,"""FX transaction verification; API not confirmed""","""unknown""","""unknown""","""unknown""","""unknown""","""unknown""","""The supplied docs route returns an FX verification product page rather than usable API documentation. Auth and API remain unresolved.""",https://ipayx.ai/docs,AI-session-assisted-evidence-rules
86,QuickBooks,9. Finance and Fintech,"""Business accounting and financial records""","[""OAuth2""]","""trial""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developer.intuit.com/app/developer/qbo/docs/get-started | https://intuitdeveloper.github.io/getstarted/,AI-session-assisted-evidence-rules
87,Xero,9. Finance and Fintech,"""Accounting and business financial records""","[""OAuth2""]","""trial""","""Documented API (protocol unverified); breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developer.xero.com/documentation/guides/oauth2/auth-flow | https://developer.xero.com/documentation/guides/oauth2/overview | https://developer.xero.com/faq/getting-started,AI-session-assisted-evidence-rules
88,Brex,9. Finance and Fintech,"""Corporate cards and spend management""","[""token""]","""admin""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""Brex currently documents only a production API server; do not promise a free sandbox.""",https://developer.brex.com/ | https://developer.brex.com/docs/authentication/,AI-session-assisted-evidence-rules
89,Ramp,9. Finance and Fintech,"""Corporate spend and finance workflows""","[""OAuth2""]","""unknown""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://docs.ramp.com/developer-api/v1/overview | https://docs.ramp.com/developer-api/v1/authorization | https://docs.ramp.com/llms-full.txt,AI-session-assisted-evidence-rules
90,PitchBook,9. Finance and Fintech,"""Private and public market intelligence""","[""API key""]","""partner""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""API contracts are separate from platform subscriptions; contact the Direct Data team for access.""",https://pitchbook.com/products/direct-data | https://pitchbook.com/help/PitchBook-api,AI-session-assisted-evidence-rules
91,NotebookLM,"10. AI, Research and Media-native","""Enterprise document-grounded research notebooks""","[""token""]","""paid""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""The retrieved API is Gemini Notebook Enterprise (formerly NotebookLM Enterprise), not the consumer NotebookLM UI. IAM, licensing and preview status matter.""",https://cloud.google.com/gemini/enterprise/notebooklm-enterprise/docs/api-notebooks | https://cloud.google.com/gemini/enterprise/notebooklm-enterprise/docs/set-up-notebooklm,AI-session-assisted-evidence-rules
92,Otter AI,"10. AI, Research and Media-native","""Meeting transcripts and AI notes""","[""OAuth2""]","""unknown""","""unknown""","""official""","""conditional""","""Official MCP uses OAuth. The help page says there is no public API key; do not label a generic API-key route as available.""",https://help.otter.ai/hc/en-us/articles/35287607569687-Otter-MCP-Server,AI-session-assisted-evidence-rules
93,Fathom,"10. AI, Research and Media-native","""Meeting recordings and summaries""","[""API key"", ""OAuth2""]","""unknown""","""unknown""","""unknown""","""unknown""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developers.fathom.ai/ | https://developers.fathom.ai/quickstart,AI-session-assisted-evidence-rules
94,Consensus,"10. AI, Research and Media-native","""Academic literature search and synthesis""","""unknown""","""unknown""","""unknown""","""unknown""","""unknown""","""Confirm Consensus academic research identity. Official MCP documentation is available; do not confuse it with unrelated Consensus products.""",https://consensus.app/ | https://docs.consensus.app/docs/mcp,AI-session-assisted-evidence-rules
95,Reducto,"10. AI, Research and Media-native","""Document parsing and structured extraction""","[""API key""]","""free""","""HTTP API; breadth needs endpoint inventory""","""official""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://docs.reducto.ai/ | https://docs.reducto.ai/api-reference/authentication,AI-session-assisted-evidence-rules
96,Devin,"10. AI, Research and Media-native","""AI software engineering workflows""","[""API key""]","""unknown""","""REST; breadth needs endpoint inventory""","""official""","""conditional""","""Official MCP is authenticated. REST versions and organization/member roles affect available operations.""",https://docs.devin.ai/api-reference/overview | https://docs.devin.ai/work-with-devin/devin-mcp,AI-session-assisted-evidence-rules
97,higgsfield,"10. AI, Research and Media-native","""AI image and video generation""","[""API key"", ""other""]","""paid""","""HTTP API; breadth needs endpoint inventory""","""official""","""conditional""","""MCP account sign-in and server-side API key ID/secret are separate paths. Generation consumes platform credits.""",https://higgsfield.ai/cli | https://docs.higgsfield.ai/,AI-session-assisted-evidence-rules
98,Mermaid CLI,"10. AI, Research and Media-native","""Render Mermaid definitions into diagrams""","[""other: local execution; no service auth""]","""free""","""Local CLI; no hosted API asserted""","""unknown""","""buildable""","""Local CLI needs no service credential. Browser/runtime dependencies and subprocess input isolation are the main packaging considerations.""",https://github.com/mermaid-js/mermaid-cli,AI-session-assisted-evidence-rules
99,YouTube Transcript,"10. AI, Research and Media-native","""YouTube transcripts through TranscriptAPI""","[""API key""]","""unknown""","""REST; breadth needs endpoint inventory""","""official""","""conditional""","""This is the paid TranscriptAPI service from the brief, not an official YouTube transcript endpoint.""",https://transcriptapi.com/docs/ | https://transcriptapi.com/docs/api/ | https://transcriptapi.com/docs/mcp/ | https://transcriptapi.com/docs/llms.txt,AI-session-assisted-evidence-rules
100,Grain,"10. AI, Research and Media-native","""Meeting recordings and insights""","[""OAuth2"", ""token""]","""admin""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""PAT/workspace tokens differ from public OAuth; the OAuth client ID/secret registration process is manual in the docs.""",https://developers.grain.com/,AI-session-assisted-evidence-rules
